edgeId,edge_coordinates,connected_edges
177428131#0,"[(24.461795458610958, 54.387168164491726), (24.46179679679465, 54.38710986122082)]","['24186904#6', '177428131#1']"
177428131#1,"[(24.461802668415302, 54.38705797229404), (24.46182099490907, 54.386969539518724), (24.4618310941974, 54.38694813089285)]","['177428131#0', '434473835#2']"
180172018#0,"[(24.452663935129483, 54.36483362871397), (24.45270512601032, 54.3648356307263), (24.452727650461444, 54.364833387184945)]","['180172018#8', '24157054#0', '180172018#1']"
180172018#1,"[(24.452877984274142, 54.36477474817719), (24.45288913476771, 54.36476721991696), (24.452927850825024, 54.364730820561746), (24.452940383812674, 54.364714586977655)]","['180172018#0', '180172018#2']"
180172018#2,"[(24.453011861692822, 54.36456431618806), (24.45302074008711, 54.36451966408214), (24.453021574105247, 54.364469164998326)]","['180172018#1', '24157055#1', '24156881#0', '180172018#3']"
180172018#3,"[(24.452970071776708, 54.364284775981915), (24.452953811932208, 54.3642580988776), (24.45292172713025, 54.364219327996004)]","['180172018#2', '180172018#4']"
180172018#4,"[(24.45278033811496, 54.36413363278151), (24.45276236937561, 54.36412799245156), (24.45272237111313, 54.364121923372025), (24.452682014587644, 54.36412118598243), (24.452661480188965, 54.36412368400913)]","['180172018#3', '482775624#1', '473167682#0', '180172018#5']"
180172018#5,"[(24.45250481406549, 54.364191822155924), (24.452487715040196, 54.36420499568687), (24.45245079068575, 54.364245794603846)]","['180172018#4', '180172018#6']"
180172018#6,"[(24.452384967740393, 54.36438391834872), (24.452375984500744, 54.36442255802095), (24.452372168959688, 54.3644884013808), (24.452376562547904, 54.364528142958804)]","['180172018#5', '473167683#4', '24157339#0', '180172018#7']"
180172018#7,"[(24.452431704180928, 54.36468317229964), (24.452463420264007, 54.36472668348632), (24.45249177486887, 54.364753404619435)]","['180172018#6', '180172018#8']"
180172018#8,"[(24.452639850249376, 54.364829200144996), (24.452658145479454, 54.36483286184097)]","['180172018#7', '24157340#3', '180172018#0']"
