edgeId,edge_coordinates,connected_edges
682777339#0,"[(24.456351356489357, 54.35551465258636), (24.45634132887798, 54.35552442618969)]","['480737246', '480737247#2', '682777339#1']"
682777339#1,"[(24.45630431749877, 54.355560103475696), (24.456273875493224, 54.35558953036082)]","['682777339#0', '473167678#0']"
682777340#0,"[(24.456098725019125, 54.355106701470234), (24.456319817879365, 54.35535252412301)]","['297218053#4', '682777340#1']"
682777340#1,"[(24.456352215693986, 54.35538842760713), (24.45635525336614, 54.35539181512042)]","['682777340#0', '282224352']"
682777574#0,"[(24.453748776317273, 54.35219462872608), (24.4536536538835, 54.35209190811938)]","['538096827', '682777575#1', '682777577#3', '682777574#1']"
682777574#1,"[(24.45358089891863, 54.35201405924712), (24.453444253899107, 54.351869810769216)]","['682777574#0', '297218057#0']"
682777575#0,"[(24.45438794659713, 54.35172564185959), (24.454035241675495, 54.35206588401619)]","['397611519#3', '682777575#1']"
682777575#1,"[(24.453971544541336, 54.352128938096506), (24.453969595959812, 54.35213104939152)]","['682777575#0', '682777574#0', '480734406']"
682777576#0,"[(24.45381462785253, 54.35252749568027), (24.45382034069422, 54.35253417941843)]","['24150688#1', '480734814', '682765399#3', '682777576#1', '682777578#2']"
682777576#1,"[(24.453934444664725, 54.352669435059795), (24.45393564343669, 54.352670888951344)]","['480294918#3', '682777576#0', '682777578#1', '682777576#2']"
682777576#2,"[(24.453967352827654, 54.35270867882232), (24.453976753924874, 54.35271982092886)]","['682777576#1', '297218053#0']"
682777577#0,"[(24.454123351517943, 54.35261825682372), (24.454083668564827, 54.352573534663264)]","['282224355#5', '682777577#1']"
682777577#1,"[(24.454050062779746, 54.35253568585605), (24.454048038204732, 54.352533460455064)]","['682777577#0', '682777578#4', '682777577#2']"
682777577#2,"[(24.453956517880155, 54.35243026963729), (24.45395523061245, 54.352428916195834)]","['682777577#1', '682777578#3', '682777577#3', '480294918#2']"
682777577#3,"[(24.453891669249703, 54.352355508750506), (24.453890470475, 54.352354054862715)]","['480294918#1', '682777577#2', '480734809#0', '682777574#0', '480734406']"
682777578#0,"[(24.453780615498708, 54.352729147779776), (24.453781854412256, 54.35272774151531)]","['682777579#1', '682777578#1']"
682777578#1,"[(24.453814016079832, 54.352688320360386), (24.453825326015927, 54.352674477467104)]","['682777578#0', '682777576#1', '682777578#2']"
682777578#2,"[(24.453938609189855, 54.3525362417485), (24.45393984637429, 54.352534736919324)]","['480294918#3', '682777576#0', '682777578#1', '682777578#3', '682765399#2']"
682777578#3,"[(24.453958490905425, 54.35251196546929), (24.45395963786893, 54.35251046252629)]","['682765399#1', '682777578#2', '682777578#4', '682777577#2']"
682777578#4,"[(24.454045702846113, 54.3524053328213), (24.454048881706296, 54.35240132245232)]","['682777577#1', '682777578#3', '682777578#5']"
682777578#5,"[(24.45411471439948, 54.352321067861176), (24.45411559588025, 54.35231986625867)]","['682777578#4', '59988644#0']"
682777579#0,"[(24.45335531532844, 54.35324808163579), (24.453390853305347, 54.35321075929338)]","['682777772#7', '473426806#0', '682777579#1']"
682777579#1,"[(24.453478629158138, 54.353110524615175), (24.45369728493309, 54.35283067037702)]","['-473426806#0', '682777579#0', '473426804#0', '682777578#0']"
682777580#0,"[(24.453425466267102, 54.352662133142), (24.453189941245963, 54.352880618191634)]","['24160915#1', '480734813#1', '24165476#0', '682777580#1']"
682777580#1,"[(24.453135870550064, 54.35293163856845), (24.452105801124176, 54.35390018685322)]","['682777580#0', '682777771#0']"
682777581#0,"[(24.45354766853475, 54.352208792914574), (24.453548957531098, 54.3522102449104)]","['473428552#6', '682777581#1']"
682777581#1,"[(24.45361486254299, 54.35228863152636), (24.453651653319255, 54.35233311813139)]","['682777581#0', '480734813#0', '480734814']"
682777770#0,"[(24.447841058348892, 54.35803337645259), (24.447776126075127, 54.35809822474765)]","['682777771#6', '682777770#1']"
682777770#1,"[(24.447759627506777, 54.358114738127476), (24.447758296587924, 54.358116047596724)]","['682777770#0', '24156892#3', '682777770#2']"
682777770#2,"[(24.44765660021911, 54.358215282800174), (24.447650388110798, 54.35822132794197)]","['24156892#2', '682777770#1', '682777770#3', '682777777#2']"
682777770#3,"[(24.447533114857865, 54.358333014774196), (24.447531783936686, 54.35833432423875)]","['682777770#2', '682777777#1', '682777770#4']"
682777770#4,"[(24.447499829765064, 54.35836506148387), (24.447444104600912, 54.35841966095247)]","['682777770#3', '297218054#0']"
682777771#0,"[(24.452103670344965, 54.353902203300606), (24.451489066104582, 54.354516972301184)]","['682777580#1', '682777771#1']"
682777771#1,"[(24.451441584793834, 54.35456292382183), (24.451280423634834, 54.354698802918975)]","['24165476#1', '682777771#0', '479557070', '682777771#2']"
682777771#2,"[(24.451224570695633, 54.354746013732175), (24.451207316302348, 54.35476057190339)]","['682777771#1', '682777771#3']"
682777771#3,"[(24.45113884866307, 54.354819286034484), (24.450642535713193, 54.35527264038805)]","['479557069', '682777771#2', '479551151', '682777771#4']"
682777771#4,"[(24.450588981194503, 54.355322267558236), (24.450547326516034, 54.3553608007331)]","['682777771#3', '682777771#5']"
682777771#5,"[(24.45050093668943, 54.355402094833), (24.45047943905397, 54.35542689669629)]","['479551150', '682777771#4', '682777771#6']"
682777771#6,"[(24.450143751769616, 54.35581181982652), (24.447952626721992, 54.35792062496505)]","['297088631', '682777771#5', '89783782#0', '682777770#0']"
682777772#0,"[(24.448013579316246, 54.358108257245654), (24.44847929066078, 54.35766433715341)]","['682777773#4', '89783769#1', '473429947', '682777772#1']"
682777772#1,"[(24.44853003203043, 54.35761378460085), (24.44853074345925, 54.35761317819678)]","['682777772#0', '682777772#2']"
682777772#2,"[(24.448575198021963, 54.35756955972123), (24.44923034562667, 54.35692410008535)]","['479539837', '682777772#1', '473429944', '682777772#3']"
682777772#3,"[(24.449280911422726, 54.35687384637003), (24.44928179811837, 54.35687294051835)]","['682777772#2', '682777772#4']"
682777772#4,"[(24.44933076232569, 54.35682400191096), (24.4496526403541, 54.35651627561735)]","['479539839', '682777772#3', '24167569#0', '682777772#5']"
682777772#5,"[(24.44975327797979, 54.356423665314), (24.450793382098194, 54.35550138493123), (24.451285009820662, 54.35507938338755)]","['-24167569#0', '682777772#4', '538096823', '682777772#6']"
682777772#6,"[(24.4513460301276, 54.35502831812508), (24.45137814440857, 54.35500161811932)]","['682777772#5', '682777772#7']"
682777772#7,"[(24.451443783706626, 54.35494631528348), (24.451896996602034, 54.354557254098985), (24.452564926478818, 54.35394166444027), (24.452887400684013, 54.35363745956305)]","['538096820', '682777772#6', '682777579#0', '24150688#0']"
682777773#0,"[(24.44758357949973, 54.35851445693165), (24.4476030416355, 54.358497093071286)]","['304385373#4', '682777773#1']"
682777773#1,"[(24.447636543375626, 54.35846711229081), (24.44763929888685, 54.35846468859331)]","['682777773#0', '682777777#3', '682777773#2']"
682777773#2,"[(24.447758247902193, 54.358355924596935), (24.447764642181024, 54.35834997424836)]","['682777773#1', '682777777#2', '682777773#3', '24156892#2']"
682777773#3,"[(24.44786806834646, 54.358251590303524), (24.447869487764773, 54.35825018039547)]","['24156892#1', '682777773#2', '682777773#4']"
682777773#4,"[(24.44788687994508, 54.358233155411384), (24.447903473915808, 54.358216935815896)]","['682777773#3', '682777772#0']"
682777774,"[(24.447547025160254, 54.35794643917118), (24.44630253359458, 54.35642510644773), (24.446264083352496, 54.35635275419399), (24.44623231575911, 54.35628578360852), (24.446213342851266, 54.35621243330903)]","['24156892#4', '89783782#1', '24157304#2']"
682777775#0,"[(24.450104979549458, 54.36112677560318), (24.44909962327176, 54.35988059818086)]","['121822222#1', '682792326#1', '479541273', '682777775#1']"
682777775#1,"[(24.449052846245255, 54.3598223185527), (24.44900708574045, 54.35976539808623)]","['682777775#0', '682777775#2']"
682777775#2,"[(24.44896030867618, 54.35970711854435), (24.44888908225244, 54.35961839041717)]","['479541272', '682777775#1', '818793940#0', '682777775#3']"
682777775#3,"[(24.448841661536953, 54.35955943424982), (24.448538304582048, 54.35918163975213)]","['682777775#2', '682777775#4']"
682777775#4,"[(24.448495218845935, 54.359128016143146), (24.448402767603497, 54.359012618166716)]","['682777775#3', '818793940#2', '818793942', '682777775#5']"
682777775#5,"[(24.44836327967419, 54.35896345492722), (24.447979193243263, 54.35848520491696)]","['682777775#4', '89783769#0', '24156892#0']"
682777776#0,"[(24.44787515368291, 54.35863112329643), (24.44812026282785, 54.3589346070283)]","['682777777#4', '89783772#1', '24167565', '682777776#1']"
682777776#1,"[(24.448171363208605, 54.358997528208704), (24.449610277167093, 54.360763905575276)]","['682777776#0', '682777776#2']"
682777776#2,"[(24.449668211637402, 54.36083575648153), (24.449968449588035, 54.36122121516856)]","['682777776#1', '693115508#1', '121822223#0', '682792329#0']"
682777777#0,"[(24.447434559992306, 54.35808533593759), (24.44751869551213, 54.35818966628969)]","['24156891#3', '682777777#1']"
682777777#1,"[(24.447542678481838, 54.35821923671128), (24.447543878922332, 54.35822078915009)]","['682777777#0', '682777770#3', '682777777#2']"
682777777#2,"[(24.44764323334982, 54.35834383059629), (24.447645537116358, 54.35834654313414)]","['682777770#2', '682777777#1', '682777777#3', '682777773#2']"
682777777#3,"[(24.447737327942175, 54.35846027764601), (24.447738528380565, 54.35846183008956)]","['682777773#1', '682777777#2', '682777777#4']"
682777777#4,"[(24.447756517727775, 54.35848413117876), (24.44779295785563, 54.358529315308004)]","['682777777#3', '682777776#0']"
682779404,"[(24.45479129067158, 54.34771748939314), (24.45427074014546, 54.34985385615489)]",['297218055']
682784145#0,"[(24.462702686957492, 54.34960237238781), (24.462768468221796, 54.349534732877125)]","['682784149#7', '682784145#1']"
682784145#1,"[(24.46279879606654, 54.349504023492635), (24.462800126887362, 54.34950271376853)]","['682784145#0', '682784163#3', '682784145#2']"
682784145#2,"[(24.462914605100266, 54.34939165447636), (24.4629162031216, 54.34939014194523)]","['682784145#1', '682784163#2', '682784145#3', '682784160#2']"
682784145#3,"[(24.463027334157093, 54.34928378694854), (24.463028664975575, 54.349282477219695)]","['682784145#2', '682784160#1', '682784145#4']"
682784145#4,"[(24.463057066721387, 54.34925516059459), (24.463096560916053, 54.349217060963085)]","['682784145#3', '282224349']"
682784149#0,"[(24.456916289396098, 54.35520724909156), (24.458432684472758, 54.35374585386791)]","['682777336#1', '89642591#1', '24161712', '682784149#1']"
682784149#1,"[(24.4584858495982, 54.353694653177094), (24.458559428777377, 54.353623798475965)]","['682784149#0', '682784149#2']"
682784149#2,"[(24.45861899477652, 54.35356704080294), (24.4599360688725, 54.35225886129895)]","['479605011', '682784149#1', '24161715', '682784149#3']"
682784149#3,"[(24.460005586914814, 54.35219321717381), (24.46010717179022, 54.35209820893912)]","['682784149#2', '682784149#4']"
682784149#4,"[(24.460164097849052, 54.352045350532485), (24.460365157666374, 54.35185340552121)]","['479605007', '682784149#3', '479605009', '682784149#5']"
682784149#5,"[(24.46041850762818, 54.351802495157564), (24.460454190519858, 54.3517683223864)]","['682784149#4', '682784149#6']"
682784149#6,"[(24.460511532979453, 54.35171348292029), (24.462399209358665, 54.349893002436765)]","['479605008', '682784149#5', '473183165', '682784149#7']"
682784149#7,"[(24.46251560849169, 54.349783382694966), (24.46260716405695, 54.34970327255392)]","['-473183165', '682784149#6', '90658032#0', '682784145#0']"
682784155#0,"[(24.462550689325386, 54.34955546494223), (24.462154591893285, 54.34993756618444)]","['682784159#4', '90658050#1', '473173104#0', '682784155#1']"
682784155#1,"[(24.46205668869588, 54.350031416029516), (24.460699680104817, 54.351325588209484)]","['-473173104#0', '682784155#0', '24161413#0', '682784155#2']"
682784155#2,"[(24.460601949372492, 54.351419037832144), (24.460148817855565, 54.35185329765898)]","['-24161413#0', '682784155#1', '24161416#0', '682784155#3']"
682784155#3,"[(24.46005801852868, 54.351940586710974), (24.45989461601749, 54.352097725643)]","['682784155#2', '682784155#4']"
682784155#4,"[(24.45979778171919, 54.3521908594884), (24.458200125776628, 54.35374213747272)]","['416297653#8', '682784155#3', '355538528#0', '682784155#5']"
682784155#5,"[(24.458110080121404, 54.353826154190685), (24.457590522155108, 54.354317592528105)]","['682784155#4', '682784155#6', '479605014#0']"
682784155#6,"[(24.457536997602684, 54.35436889868432), (24.457259558484346, 54.35463697293058)]","['682784155#5', '682784155#7']"
682784155#7,"[(24.45720115967126, 54.35469340926393), (24.456807367821664, 54.35507404896165)]","['355538524', '682784155#6', '89642595#0', '682777338#0']"
682784159#0,"[(24.463112018410715, 54.34901272511414), (24.462971484801738, 54.34914592499721)]",['682784159#1']
682784159#1,"[(24.462943430118987, 54.34917244552253), (24.462942099301475, 54.349173755251456)]","['682784159#0', '682784160#3', '682784159#2']"
682784159#2,"[(24.462828908844667, 54.34928104083109), (24.462828108969717, 54.34928174781284)]","['682784159#1', '682784160#2', '682784159#3', '682784163#2']"
682784159#3,"[(24.462711279921468, 54.34939256053988), (24.462708614822517, 54.34939498285283)]","['682784159#2', '682784163#1', '682784159#4']"
682784159#4,"[(24.462676319448796, 54.3494267194849), (24.462668070784574, 54.349434977764375)]","['682784159#3', '682784155#0']"
682784160#0,"[(24.463167025336947, 54.349586041142985), (24.46306355028462, 54.34944976801483)]","['682784161#3', '682784160#1']"
682784160#1,"[(24.463034180489256, 54.349411631722226), (24.463025776723203, 54.34940076407415)]","['682784160#0', '682784145#3', '682784160#2']"
682784160#2,"[(24.46293206006036, 54.34928055652357), (24.462930951471243, 54.349279100682956)]","['682784145#2', '682784160#1', '682784160#3', '682784159#2']"
682784160#3,"[(24.46283676978612, 54.34915811422255), (24.46283547729586, 54.34915646502828)]","['682784159#1', '682784160#2', '682784160#4']"
682784160#4,"[(24.462804925924416, 54.34911786060408), (24.462768760398312, 54.34907306314858)]","['682784160#3', '413011804']"
682784161#0,"[(24.465131088773816, 54.35204387265534), (24.464565442911116, 54.351347426163244)]","['170334925#1', '682772430#3', '682784161#1']"
682784161#1,"[(24.46453546272326, 54.35131048501324), (24.464523287439526, 54.35129555462431)]","['682784161#0', '24161744#0', '682784161#2']"
682784161#2,"[(24.46445158210314, 54.35120554974769), (24.46435763230441, 54.35108741508106)]","['682784161#1', '682784161#3']"
682784161#3,"[(24.464285739507034, 54.35099701994471), (24.463301233402355, 54.34976614143762)]","['24161745#7', '682784161#2', '90658016#0', '682784160#0']"
682784162#0,"[(24.463041208055408, 54.349678405985436), (24.463453623367805, 54.350195527983956)]","['682784163#4', '90658032#1', '24161721#0', '682784162#1']"
682784162#1,"[(24.463539071171507, 54.35030230243204), (24.464234131086258, 54.35116779978664)]","['-24161721#0', '682784162#0', '24161720', '682784162#2']"
682784162#2,"[(24.46428054216899, 54.35122559701108), (24.464318372599056, 54.35127272730487)]","['682784162#1', '682784162#3']"
682784162#3,"[(24.464363400957378, 54.35132887725844), (24.464428538100083, 54.35140975072556)]","['480863229', '682784162#2', '682784162#4']"
682784162#4,"[(24.4644582493304, 54.35144679610706), (24.465032249209646, 54.35216160562959)]","['682784162#3', '170334924#0', '682772432#0']"
682784163#0,"[(24.46268530336199, 54.34923405657198), (24.4626859487418, 54.34923483188483)]","['682772433', '682784163#1']"
682784163#1,"[(24.462715938004983, 54.349272264833324), (24.46271658165494, 54.3492729415789)]","['682784163#0', '682784159#3', '682784163#2']"
682784163#2,"[(24.462811991738967, 54.349391930218395), (24.462813190547283, 54.34939338416921)]","['682784159#2', '682784163#1', '682784163#3', '682784145#2']"
682784163#3,"[(24.46290897526835, 54.34951315397715), (24.462914327385405, 54.34951984556284)]","['682784145#1', '682784163#2', '682784163#4']"
682784163#4,"[(24.462945334954895, 54.349558736381255), (24.46295446739061, 54.34956998318986)]","['682784163#3', '682784162#0']"
682785544#0,"[(24.457352608939914, 54.34908622405155), (24.457353938032934, 54.349084815822174)]","['59988644#2', '682785544#1']"
682785544#1,"[(24.457387401137478, 54.3490527603313), (24.45738811252346, 54.34905215383503)]","['682785544#0', '479567097#0', '682785544#2']"
682785544#2,"[(24.457490347702354, 54.348958314994185), (24.457602075530655, 54.34885510739665)]","['524157517', '682785544#1']"
682785548#0,"[(24.45759584099717, 54.34867470162496), (24.45739350886997, 54.34885563019352)]","['682785548#1', '524157517']"
682785548#1,"[(24.457292495330655, 54.348947077056515), (24.457287876513107, 54.34895131497255)]","['682785548#0', '682785548#2']"
682785548#2,"[(24.45724560095122, 54.34899035838876), (24.457186366545614, 54.34904533566323)]","['682785548#1', '397611519#0']"
682785828#0,"[(24.458882115695722, 54.35815823073663), (24.458950097245154, 54.35823165032552)]","['682785829#3', '682785828#1']"
682785828#1,"[(24.45897291329416, 54.35825641609742), (24.45897420051843, 54.35825776965201)]","['682785828#0', '682785830#3', '682785828#2']"
682785828#2,"[(24.459062102373114, 54.35835552258174), (24.45906339132018, 54.358356974703845)]","['682785828#1', '682785830#2', '682785828#3', '682785832#2']"
682785828#3,"[(24.459160607089544, 54.358466069780285), (24.45916612892862, 54.358472166443406)]","['682785828#2', '682785832#1', '682785828#4']"
682785828#4,"[(24.459207545300313, 54.35851803928225), (24.45923662904271, 54.35855026668337)]","['682785828#3', '682791231#0']"
682785829#0,"[(24.456680146606317, 54.355756747839735), (24.456960567226215, 54.35607143800161)]","['682777334#1', '89642597#1', '473191239', '682785829#1']"
682785829#1,"[(24.457012585559095, 54.3561300044071), (24.45738711182248, 54.35655138826075)]","['682785829#0', '479388115', '682785829#2']"
682785829#2,"[(24.457433989676854, 54.35660503379726), (24.457500300766842, 54.356680951613185)]","['682785829#1', '682785829#3']"
682785829#3,"[(24.457544440914575, 54.356732879608614), (24.458780456504062, 54.35804794706225)]","['473175442', '682785829#2', '90658031#0', '682785828#0']"
682785830#0,"[(24.45923338986975, 54.358101795401915), (24.45920303415869, 54.358131023464026)]","['682785831#9', '682785830#1']"
682785830#1,"[(24.459179863961815, 54.3581531008236), (24.459178533054427, 54.35815441042289)]","['682785830#0', '682785837#3', '682785830#2']"
682785830#2,"[(24.459078585096805, 54.358250365165894), (24.45907725418838, 54.35825167476309)]","['682785830#1', '682785837#2', '682785830#3', '682785828#2']"
682785830#3,"[(24.458964524597423, 54.358359925479014), (24.458963193687826, 54.35836123507385)]","['682785828#1', '682785830#2', '682785830#4']"
682785830#4,"[(24.458931770774143, 54.35839137269346), (24.45887744654349, 54.358443483336124)]","['682785830#3', '59988640#0']"
682785831#0,"[(24.465009923506063, 54.35256132785795), (24.464911610805157, 54.35265765185925)]","['170334924#1', '682772435#2', '482775622#0', '682785831#1']"
682785831#1,"[(24.464840054002597, 54.35272541194332), (24.463774154261777, 54.353745000512944)]","['682785831#0', '682785831#2']"
682785831#2,"[(24.46373962311163, 54.353777966412444), (24.46262108538999, 54.354848432132606)]","['682785831#1', '682785831#3']"
682785831#3,"[(24.462571641955993, 54.35489571087765), (24.462499297817388, 54.35496496389818)]","['482775622#1', '682785831#2', '265402239', '682785831#4']"
682785831#4,"[(24.46244310974787, 54.35501879277106), (24.462347064921666, 54.35511072685335)]","['682785831#3', '682785831#5']"
682785831#5,"[(24.46229398101385, 54.355161434001175), (24.460938368197144, 54.3564658814012)]","['473172527', '682785831#4', '479605013', '682785831#6']"
682785831#6,"[(24.4608813812798, 54.35652051442042), (24.460835844826047, 54.356564160529224)]","['682785831#5', '682785831#7']"
682785831#7,"[(24.46078240978227, 54.35661546538356), (24.46036655273171, 54.357014517826585)]","['479605012', '682785831#6', '206646606#0', '682785831#8']"
682785831#8,"[(24.460290837632623, 54.35708719124482), (24.459762782837156, 54.35759398851375)]","['-206646606#0', '682785831#7', '-206646606#2', '682785831#9']"
682785831#9,"[(24.459676415004658, 54.35767684240913), (24.45933733559985, 54.35800220731078)]","['206646606#2', '682785831#8', '90658034#0', '682785830#0']"
682785832#0,"[(24.458945222009003, 54.358556742365835), (24.459018807132136, 54.358486087109426)]","['682785833#11', '682785832#1']"
682785832#1,"[(24.459050318562205, 54.35845584904011), (24.45905164947262, 54.358454539445184)]","['682785832#0', '682785828#3', '682785832#2']"
682785832#2,"[(24.45916020768481, 54.35835031984747), (24.459161538594092, 54.35834901025027)]","['682785828#2', '682785832#1', '682785832#3', '682785837#2']"
682785832#3,"[(24.459264769636633, 54.3582498317354), (24.45926610054485, 54.358248522136044)]","['682785832#2', '682785837#1', '682785832#4']"
682785832#4,"[(24.459291488361043, 54.35822422925419), (24.45935033792066, 54.35816768540587)]","['682785832#3', '482775625#0']"
682785833#0,"[(24.453204970746487, 54.36407076121218), (24.45412479699574, 54.3631836529796)]","['24156881#1', '270035440', '682785833#1']"
682785833#1,"[(24.454196609596476, 54.36311471631227), (24.45430375230684, 54.36301191475079)]","['682785833#0', '682785833#2']"
682785833#10,"[(24.457920965744165, 54.35953976867451), (24.45859530738653, 54.35889228777399)]","['682785833#9', '682785833#11']"
682785833#11,"[(24.458648474435062, 54.35884108899749), (24.45883444256158, 54.35866297998)]","['141196508', '682785833#10', '90658080#0', '682785832#0']"
682785833#2,"[(24.454358255472606, 54.36295960711167), (24.454620560665663, 54.3627077463621)]","['24177226', '682785833#1', '483122241#0', '682785833#3']"
682785833#3,"[(24.4546739982495, 54.362656446636244), (24.456093285312075, 54.36129411115507)]","['682785833#2', '-24177251', '682785833#4']"
682785833#4,"[(24.456164388852887, 54.36122597586914), (24.45646352800015, 54.36093873142412)]","['24177251', '682785833#3', '270035439', '682785833#5']"
682785833#5,"[(24.456516787845345, 54.36088763107452), (24.456580877319137, 54.3608261491335)]","['682785833#4', '682785833#6']"
682785833#6,"[(24.456635645051424, 54.360773538253284), (24.456644434043763, 54.360765171234696)]","['473167707', '682785833#5', '682785833#7']"
682785833#7,"[(24.456678342406736, 54.36073261655787), (24.457481402894192, 54.35996177739569)]","['682785833#6', '270035438', '682785833#8']"
682785833#8,"[(24.457563333542627, 54.35988316031882), (24.45766266155025, 54.35978781259244)]","['682785833#7', '682785833#9']"
682785833#9,"[(24.4577168093471, 54.35973590392668), (24.457863803913945, 54.359594797002195)]","['473175441', '682785833#8', '24177244', '682785833#10']"
682785835#0,"[(24.458981405178196, 54.35800914366262), (24.45855382482524, 54.35754714960642)]","['682785837#4', '90658034#1', '682785835#1']"
682785835#1,"[(24.45852172050799, 54.35751252064444), (24.45819772265829, 54.35716244824299)]","['682785835#0', '-24161713#2', '682785835#2']"
682785835#2,"[(24.458105187843845, 54.357063018735985), (24.457611386547566, 54.35653556290335)]","['24161713#2', '682785835#1', '682785835#3', '480296999#0']"
682785835#3,"[(24.45756013322141, 54.35647944509517), (24.45693676611003, 54.35578412252236)]","['682785835#2', '89642591#0', '682777335#0']"
682785837#0,"[(24.459350326463802, 54.35844574253624), (24.45931331134111, 54.358403820491375)]","['682791228#4', '682785837#1']"
682785837#1,"[(24.45927905626859, 54.35836489751983), (24.459274084368946, 54.35835928238774)]","['682785837#0', '682785832#3', '682785837#2']"
682785837#2,"[(24.459176709357322, 54.35824624657026), (24.459175420409196, 54.35824479444821)]","['682785832#2', '682785837#1', '682785837#3', '682785830#2']"
682785837#3,"[(24.459091897944216, 54.358144583678914), (24.45909069921627, 54.358143129675796)]","['682785830#1', '682785837#2', '682785837#4']"
682785837#4,"[(24.45907023061841, 54.35811841351022), (24.459057877281257, 54.35810358532124)]","['682785837#3', '682785835#0']"
682786732#0,"[(24.46749175950072, 54.35569611054007), (24.4668779760746, 54.35628569328191)]","['682786733#4', '79960471#1', '24177198#0', '682786732#1']"
682786732#1,"[(24.466784438425996, 54.35637136538337), (24.46670253848683, 54.35644644043726)]","['682786732#0', '682786732#2']"
682786732#10,"[(24.462203554580256, 54.36075554794348), (24.46201262068406, 54.36094401769392)]","['480451891', '682786732#9', '90658090#0', '682791227#0']"
682786732#2,"[(24.466619066283485, 54.356524506458726), (24.465770977598357, 54.357346065986036)]","['483123828#3', '682786732#1', '682786732#3']"
682786732#3,"[(24.465737252444256, 54.35737871888765), (24.465200850197103, 54.35789843370318)]","['682786732#2', '270035437', '682786732#4']"
682786732#4,"[(24.46514643446889, 54.357950450710746), (24.46505464950426, 54.35803835169682)]","['682786732#3', '682786732#5']"
682786732#5,"[(24.465001297402804, 54.35808926170728), (24.46442846864887, 54.35864217197752)]","['473171468', '682786732#4', '682786732#6']"
682786732#6,"[(24.464394651205577, 54.35867472749212), (24.46309348560472, 54.35993069747902)]","['682786732#5', '24177209#0', '682786732#7']"
682786732#7,"[(24.463005107591087, 54.36001221376459), (24.46291440961395, 54.36009525739731)]","['682786732#6', '682786732#8']"
682786732#8,"[(24.46283090924406, 54.360171840078436), (24.46237196642419, 54.36059012769561)]","['483123826#7', '682786732#7', '24177225', '682786732#9']"
682786732#9,"[(24.46230629297, 54.36065391379759), (24.462288194413457, 54.360671842785)]","['682786732#8', '682786732#10']"
682786733#0,"[(24.467954379986413, 54.35525167788666), (24.467911774861648, 54.35529260343255)]","['282215711#11', '682786733#1']"
682786733#1,"[(24.46788754334188, 54.355315888449375), (24.46788621247067, 54.35531719817554)]","['682786733#0', '682772431#3', '682786733#2']"
682786733#2,"[(24.467783693921366, 54.35541568127631), (24.46778227282839, 54.35541699288611)]","['682772431#2', '682786733#1', '682786733#3', '682786739#2']"
682786733#3,"[(24.467668305581117, 54.35552656200049), (24.467664755434587, 54.35552998887676)]","['682786733#2', '682786739#1', '682786733#4']"
682786733#4,"[(24.46762862932268, 54.355564665116326), (24.46760581712017, 54.35558653984963)]","['682786733#3', '682786732#0']"
682786734#0,"[(24.467578322383968, 54.35581006724886), (24.467722238628795, 54.35567383998989)]","['682786735#5', '682786734#1']"
682786734#1,"[(24.467757396500144, 54.35564056450177), (24.467758906090147, 54.35563915243685)]","['682786734#0', '682786739#3', '682786734#2']"
682786734#2,"[(24.467872540152243, 54.35553116802652), (24.46787396124622, 54.35552985641687)]","['682786734#1', '682786739#2', '682786734#3', '682772431#2']"
682786734#3,"[(24.467977237882774, 54.35543342825428), (24.4679786589757, 54.355432116642405)]","['682772431#1', '682786734#2', '682786734#4']"
682786734#4,"[(24.468000513239982, 54.35541223400132), (24.468046973722572, 54.35536984735742)]","['682786734#3', '59988639#0']"
682786735#0,"[(24.462122066814725, 54.361066173753336), (24.463208235569084, 54.36004643219321)]","['682791224#1', '90658048#1', '682786735#1']"
682786735#1,"[(24.46324251136637, 54.36001426221842), (24.464081105803736, 54.359226856056736)]","['682786735#0', '24177964', '682786735#2']"
682786735#2,"[(24.4641487306212, 54.35916115404231), (24.464156716092276, 54.35915329616374)]","['682786735#1', '682786735#3']"
682786735#3,"[(24.46420552077808, 54.35910553862521), (24.465827513814567, 54.35751843312208)]","['480453531', '682786735#2', '24177998#0', '682786735#4']"
682786735#4,"[(24.465924231762806, 54.35742362429457), (24.466838775828197, 54.356526325743225)]","['-24177998#0', '682786735#3', '682786735#5']"
682786735#5,"[(24.466872316857938, 54.35649347894546), (24.467386328233125, 54.355989108637104)]","['682786735#4', '91663027#0', '682786734#0']"
682786737#0,"[(24.467669294030525, 54.35515005569511), (24.467126574159188, 54.3544787398899)]","['682772431#4', '91663024#1', '-91663002#1', '682786737#1']"
682786737#1,"[(24.46703973539263, 54.35437484828924), (24.466783988785544, 54.35407786569939)]","['682786737#0', '91663002#1', '682786737#2']"
682786737#2,"[(24.466754397675913, 54.354042492831184), (24.46638459341843, 54.35358716757358)]","['682786737#1', '480517466', '682786737#3']"
682786737#3,"[(24.466336626893714, 54.35352811916498), (24.46627805181297, 54.3534559807579)]","['682786737#2', '682786737#4']"
682786737#4,"[(24.4662309162294, 54.353397999744146), (24.465472395111316, 54.35246418827736)]","['480517465', '682786737#3', '682772430#0']"
682786738#0,"[(24.471874066395372, 54.360372181022264), (24.47187240451003, 54.36037004624441)]","['473445038#6', '682792053#2', '682786738#1', '682792054#0']"
682786738#1,"[(24.471789445232353, 54.36026586850722), (24.47178824651257, 54.36026441434803)]","['682786738#0', '682786738#2']"
